tempo,largura
0.0,0
0.008,0
0.016,0
0.024,0
0.032,0.013686
0.04,0.0194384
0.048,0.0464509
0.056,0.0514842
0.064,0.077466
0.072,0.103616
0.08,0.129597
0.088,0.177391
0.096,0.229666
0.104,0.284218
0.112,0.351833
0.12,0.421293
0.128,0.504416
0.136,0.596575
0.144,0.711791
0.152,0.826744
0.16,0.884004
0.168,0.977673
0.176,1.05356
0.184,0.997759
0.192,1.01653
0.2,1.00552
0.208,1.01087
0.216,1.01315
0.224,1.00552
0.232,1.00972
0.24,1.00552
0.248,1.00809
0.256,1.0118
0.264,1.00207
0.272,1.00993
0.28,1.00332
0.288,1.00368
0.296,1.0054
0.304,0.99819
0.312,1.0083
0.32,1.00576
0.328,0.998574
0.336,1.00231
0.344,1.00025
0.352,1.00231
0.36,1.00162
0.368,0.99366
0.376,1.00739
0.384,0.998645
0.392,0.999101
0.4,1.00576
0.408,0.995242
0.416,1.00622
0.424,0.99819
0.432,0.992989
0.44,1.00322
0.448,0.998645
0.456,1.00322
0.464,1.00277
0.472,0.996129
0.48,1.00179
0.488,0.995745
0.496,0.999293
0.504,1.0038
0.512,0.996057
0.52,1.00667
0.528,1.01614
0.536,1.00505
0.544,1.00953
0.552,1.00222
0.56,1.00713
0.568,1.00876
0.576,0.999724
0.584,1.00667
0.592,1.00296
0.6,1.00658
0.608,1.00253
0.616,0.993732
0.624,1.00787
0.632,0.999508
0.64,1.00037
0.648,1.00622
0.656,0.996512
0.664,1.00416
0.672,1.0009
0.68,0.995338
0.688,1.00179
0.696,0.998214
0.704,1.00466
0.712,1.00133
0.72,0.998981
0.728,1.0014
0.736,0.994906
0.744,0.999293
0.752,1.00787
0.76,0.994643
0.768,1.00548
0.776,1.00222
0.784,0.999796
0.792,1.00133
0.8,0.996249
0.808,1.0009
0.816,1.00222
0.824,0.995242
0.832,1.00416
0.84,0.998981
0.848,1.00179
0.856,1.00416
0.864,0.992581
0.872,1.00385
0.88,1.0009
0.888,0.997663
0.896,1.00622
0.904,0.998478
0.912,1.00416
0.92,0.999508
0.928,0.992869
0.936,1.00622
0.944,0.998478
0.952,0.997615
0.96,1.00416
0.968,0.996249
0.976,1.00416
0.984,0.999508
0.992,0.996249
1.0,1.00519
1.008,0.996249
1.016,1.00385
1.024,1.00061
1.032,0.997615
1.04,0.997615
1.048,0.997615
1.056,1.0009
1.064,1.00459
1.072,0.993372
1.08,1.00572
1.088,0.998142
1.096,1.00037
1.104,1.00087
1.112,0.994379
1.12,1.00087
1.128,1.00087
1.136,0.993876
1.144,1.00459
1.152,0.996608
1.16,1.00224
1.168,1.00001
1.176,0.991
1.184,1.0033
1.192,1.00001
1.2,0.996512
1.208,1.00459
1.216,0.997111
1.224,1.00466
1.232,1.00087
1.24,0.995242
1.248,1.0009
1.256,0.997111
1.264,1.00001
1.272,1.00191
1.28,0.998142
1.288,1.00466
1.296,0.998118
1.304,0.997615
1.312,1.00519
1.32,0.992869
1.328,1.00519
1.336,1.0014
1.344,1.00001
1.352,1.00087
1.36,0.997111
1.368,1.00277
1.376,1.0038
1.384,0.992581
1.392,1.0033
1.4,0.998118
1.408,1.00277
1.416,1.00191
1.424,0.995242
1.432,1.00466
1.44,1.00087
1.448,0.994739
1.456,1.00548
1.464,0.997615
1.472,1.00579
1.48,0.998981
1.488,0.992581
1.496,1.00797
1.504,0.998981
1.512,1.00001
1.52,1.00761
1.528,0.997663
1.536,1.0033
1.544,0.997111
1.552,0.994451
1.56,1.0014
1.568,0.993732
1.576,1.00133
1.584,1.00296
1.592,0.995769
1.6,1.00087
1.608,0.996057
1.616,1.00001
1.624,1.00224
1.632,0.994906
1.64,1.00385
1.648,0.99855
1.656,0.998118
1.664,0.999508
1.672,0.991527
1.68,1.00037
1.688,1.00224
1.696,0.994379
1.704,1.00277
1.712,0.998478
1.72,1.01959
1.728,1.00711
1.736,0.99855
1.744,1.01116
1.752,1.00224
1.76,1.00037
1.768,1.00761
1.776,1.00037
1.784,1.00902
1.792,0.998981
1.8,0.995745
1.808,1.00459
1.816,0.998142
1.824,1.00342
1.832,1.00179
1.84,0.996608
1.848,1.00342
1.856,0.993876
1.864,1.00087
1.872,1.00605
1.88,0.995338
1.888,1.00416
1.896,1.00133
1.904,0.998981
1.912,0.999293
1.92,0.993372
1.928,1.0033
1.936,1.00191
1.944,0.995745
1.952,1.00001
1.96,1.0014
1.968,1.00342
1.976,1.00191
1.984,0.993732
1.992,1.00797
2.0,1.00224
2.008,1.00001
2.016,1.00519
2.024,0.997615
2.032,1.00416
2.04,1.0014
2.048,0.993372
2.056,1.00466
2.064,0.997663
2.072,1.00133
2.08,1.00016
2.088,0.999508
2.096,1.00222
2.104,0.997111
2.112,0.995338
2.12,1.00548
2.128,0.992534
2.136,1.0014
2.144,1.0033
2.152,0.998142
2.16,1.00224
2.168,0.995745
2.176,1.00087
2.184,1.00416
2.192,0.993876
2.2,1.00505
2.208,0.996608
2.216,1.00191
2.224,1.00224
2.232,0.991527
2.24,1.0033
2.248,1.00296
2.256,0.996057
2.264,1.00277
2.272,1.00087
