tempo, vel

0.000000, 0.000000
0.008000, 0.000000
0.016000, 0.000000
0.024000, 0.000000
0.032000, 0.000000
0.040000, 0.000000
0.048000, 0.000000
0.056000, 0.000000
0.064000, 0.000000
0.072000, 0.018815
0.080000, 0.008628
0.088000, 0.029457
0.096000, 0.017449
0.104000, 0.034011
0.112000, 0.029121
0.120000, 0.042448
0.128000, 0.049303
0.136000, 0.056373
0.144000, 0.067279
0.152000, 0.076315
0.160000, 0.085279
0.168000, 0.091823
0.176000, 0.101122
0.184000, 0.109631
0.192000, 0.114928
0.200000, 0.122382
0.208000, 0.133528
0.216000, 0.141893
0.224000, 0.151816
0.232000, 0.157304
0.240000, 0.165502
0.248000, 0.173651
0.256000, 0.182855
0.264000, 0.191052
0.272000, 0.200376
0.280000, 0.209771
0.288000, 0.218712
0.296000, 0.226525
0.304000, 0.236113
0.312000, 0.239708
0.320000, 0.247426
0.328000, 0.254640
0.336000, 0.259698
0.344000, 0.273887
0.352000, 0.284481
0.360000, 0.288052
0.368000, 0.297903
0.376000, 0.307083
0.384000, 0.311829
0.392000, 0.318996
0.400000, 0.327121
0.408000, 0.330956
0.416000, 0.341166
0.424000, 0.354301
0.432000, 0.363841
0.440000, 0.372445
0.448000, 0.378030
0.456000, 0.383087
0.464000, 0.391428
0.472000, 0.395167
0.480000, 0.411250
0.488000, 0.418968
0.496000, 0.426878
0.504000, 0.429826
0.512000, 0.436920
0.520000, 0.443656
0.528000, 0.458061
0.536000, 0.463262
0.544000, 0.470668
0.552000, 0.477882
0.560000, 0.484618
0.568000, 0.496818
0.576000, 0.509305
0.584000, 0.526490
0.592000, 0.522727
0.600000, 0.529942
0.608000, 0.537156
0.616000, 0.548853
0.624000, 0.556068
0.632000, 0.559255
0.640000, 0.564864
0.648000, 0.577807
0.656000, 0.586172
0.664000, 0.592044
0.672000, 0.595855
0.680000, 0.606545
0.688000, 0.619320
0.696000, 0.626199
0.704000, 0.632910
0.712000, 0.638950
0.720000, 0.651582
0.728000, 0.656328
0.736000, 0.663159
0.744000, 0.669774
0.752000, 0.682118
0.760000, 0.688757
0.768000, 0.691082
0.776000, 0.706278
0.784000, 0.714068
0.792000, 0.718406
0.800000, 0.727274
0.808000, 0.736382
0.816000, 0.744987
0.824000, 0.748271
0.832000, 0.759512
0.840000, 0.769746
0.848000, 0.772167
0.856000, 0.777608
0.864000, 0.795824
0.872000, 0.800809
0.880000, 0.803326
0.888000, 0.820128
0.896000, 0.824298
0.904000, 0.828661
0.912000, 0.839686
0.920000, 0.848027
0.928000, 0.852198
0.936000, 0.865668
0.944000, 0.877125
0.952000, 0.877125
0.960001, 0.891266
0.968001, 0.897930
0.976001, 0.897930
0.984001, 0.915403
0.992001, 0.922066
1.000001, 0.922401
1.008001, 0.941720
1.016001, 0.945075
1.024001, 0.949845
1.032001, 0.965425
1.040001, 0.967174
1.048001, 0.978703
1.056001, 0.987380
1.064001, 0.988818
1.072001, 1.005188
1.080001, 1.007609
1.088001, 1.014944
1.096001, 1.029133
1.104001, 1.027958
1.112001, 1.041620
1.120001, 1.048883
1.128001, 1.049506
1.136001, 1.070694
1.144001, 1.066380
1.152001, 1.085195
1.160001, 1.087616
1.168001, 1.097707
1.176001, 1.105640
1.184001, 1.104562
1.192001, 1.121124
1.200001, 1.125774
1.208001, 1.142408
1.216001, 1.142552
1.224001, 1.154032
1.232001, 1.161103
1.240001, 1.159929
1.248001, 1.181692
1.256001, 1.180038
1.264001, 1.198326
1.272001, 1.198326
1.280001, 1.208129
1.288001, 1.213115
1.296001, 1.227304
1.304001, 1.229246
1.312001, 1.244753
1.320001, 1.248300
1.328001, 1.258679
1.336001, 1.263592
1.344001, 1.268578
1.352001, 1.280466
1.360001, 1.286866
1.368001, 1.294488
1.376001, 1.303356
1.384001, 1.310786
1.392001, 1.314333
1.400001, 1.327900
1.408001, 1.335186
1.416001, 1.342976
1.424001, 1.353785
1.432001, 1.359682
1.440001, 1.369029
1.448002, 1.374111
1.456002, 1.391680
1.464002, 1.388588
1.472002, 1.398367
1.480002, 1.404647
1.488002, 1.421904
1.496002, 1.418309
1.504002, 1.435350
1.512002, 1.438754
1.520002, 1.447406
1.528002, 1.454237
1.536002, 1.459486
1.544002, 1.478589
1.552002, 1.475449
1.560002, 1.491748
1.568002, 1.487170
1.576002, 1.506081
1.584002, 1.515932
1.592002, 1.521373
1.600002, 1.530265
1.608002, 1.532183
1.616002, 1.549272
1.624002, 1.550279
1.632002, 1.559986
1.640002, 1.568687
1.648002, 1.570988
1.656002, 1.586375
1.664002, 1.592535
1.672002, 1.596802
1.680002, 1.611734
1.688002, 1.608810
1.696002, 1.623479
1.704002, 1.637908
1.712002, 1.637908
1.720002, 1.650755
1.728002, 1.654638
1.736002, 1.662355
1.744002, 1.678534
1.752002, 1.682657
1.760002, 1.684886
1.768002, 1.697182
1.776002, 1.699339
1.784002, 1.712809
1.792002, 1.722420
1.800002, 1.720383
1.808002, 1.732942
1.816002, 1.749289
1.824002, 1.756671
1.832002, 1.755617
1.840002, 1.749289
1.848002, 1.733494
1.856002, 1.732151
1.864002, 1.728029
1.872002, 1.709789
1.880002, 1.702311
1.888002, 1.703126
1.896002, 1.692867
1.904002, 1.677336
1.912002, 1.673285
1.920002, 1.659767
1.928002, 1.658736
1.936002, 1.648502
1.944003, 1.636398
1.952003, 1.638699
1.960003, 1.622975
1.968003, 1.616120
1.976003, 1.609313
1.984003, 1.594908
1.992003, 1.591577
2.000003, 1.585153
2.008003, 1.571922
2.016002, 1.570077
2.024002, 1.558644
2.032002, 1.551837
2.040002, 1.545845
2.048002, 1.532710
2.056002, 1.531224
2.064002, 1.519264
2.072002, 1.510755
2.080002, 1.505602
2.088001, 1.494960
2.096001, 1.482640
2.104001, 1.474994
2.112001, 1.473748
2.120001, 1.459486
2.128001, 1.455603
2.136001, 1.451265
2.144001, 1.460373
2.152001, 1.443116
2.160001, 1.428184
2.168000, 1.427345
2.176000, 1.413275
2.184000, 1.402849
2.192000, 1.392183
2.200000, 1.387797
2.208000, 1.379839
2.216000, 1.368622
2.224000, 1.367879
2.232000, 1.352539
2.240000, 1.350454
2.247999, 1.333556
2.255999, 1.332741
2.263999, 1.317497
2.271999, 1.314333
2.279999, 1.301414
2.287999, 1.299497
2.295999, 1.283486
2.303999, 1.283846
2.311999, 1.267475
2.319999, 1.267715
2.327998, 1.252950
2.335998, 1.252950
2.343998, 1.238066
2.351998, 1.235094
2.359998, 1.221480
2.367998, 1.221120
2.375998, 1.205637
2.383998, 1.199357
2.391998, 1.194779
2.399997, 1.179990
2.407997, 1.180901
2.415997, 1.162350
2.423997, 1.162014
2.431997, 1.146914
2.439997, 1.151492
2.447997, 1.134882
2.455997, 1.126660
2.463997, 1.120573
2.471997, 1.114389
2.479996, 1.105185
2.487996, 1.089102
2.495996, 1.093920
2.503996, 1.077621
2.511996, 1.069328
2.519996, 1.066092
2.527996, 1.051160
2.535996, 1.047421
2.543996, 1.038792
2.551996, 1.028893
2.559995, 1.026137
2.567995, 1.008760
2.575995, 1.011157
2.583995, 0.998549
2.591995, 0.998477
2.599995, 0.984671
2.607995, 0.970770
2.615995, 0.970770
2.623995, 0.964298
2.631994, 0.946202
